Year,Age,Gender,Educational Attainment,Race,Personal Income,Population Count
2010,00 to 17,Male,High school or equivalent,White,"$5,000 to $9,999",989
2010,00 to 17,Male,High school or equivalent,White,"$10,000 to $14,999",0
2010,00 to 17,Male,High school or equivalent,White,"$15,000 to $24,999",78
2010,00 to 17,Male,High school or equivalent,White,"$25,000 to $34,999",123
2010,00 to 17,Male,High school or equivalent,White,"$35,000 to $49,999",0
2010,00 to 17,Male,High school or equivalent,White,"$50,000 to $74,999",0
2010,00 to 17,Male,High school or equivalent,White,"$75,000 and over",0
2010,00 to 17,Male,High school or equivalent,White,No Income,"9,483"
2010,00 to 17,Male,High school or equivalent,African American,No Income,"9,483"
2010,00 to 17,Male,High school or equivalent,African American,"$5,000 to $9,999",0
2010,00 to 17,Male,High school or equivalent,African American,"$10,000 to $14,999",0
2010,00 to 17,Male,High school or equivalent,African American,"$15,000 to $24,999",0
2010,00 to 17,Male,High school or equivalent,African American,"$25,000 to $34,999",0
2010,00 to 17,Male,High school or equivalent,African American,"$35,000 to $49,999",0
2010,00 to 17,Male,High school or equivalent,African American,"$50,000 to $74,999",0
2010,00 to 17,Male,High school or equivalent,African American,"$75,000 and over",0
2010,00 to 17,Male,High school or equivalent,African American,No Income,971
2010,00 to 17,Male,High school or equivalent,Native American,No Income,971
2010,00 to 17,Male,High school or equivalent,Native American,"$5,000 to $9,999",0
2010,00 to 17,Male,High school or equivalent,Native American,"$10,000 to $14,999",0
2010,00 to 17,Male,High school or equivalent,Native American,"$15,000 to $24,999",0
2010,00 to 17,Male,High school or equivalent,Native American,"$25,000 to $34,999",0
2010,00 to 17,Male,High school or equivalent,Native American,"$35,000 to $49,999",0
2010,00 to 17,Male,High school or equivalent,Native American,"$50,000 to $74,999",0
2010,00 to 17,Male,High school or equivalent,Native American,"$75,000 and over",0
2010,00 to 17,Male,High school or equivalent,Native American,No Income,0
2010,00 to 17,Male,High school or equivalent,Asian,No Income,0
2010,00 to 17,Male,High school or equivalent,Asian,"$5,000 to $9,999",53
2010,00 to 17,Male,High school or equivalent,Asian,"$10,000 to $14,999",0
2010,00 to 17,Male,High school or equivalent,Asian,"$15,000 to $24,999",64
2010,00 to 17,Male,High school or equivalent,Asian,"$25,000 to $34,999",0
2010,00 to 17,Male,High school or equivalent,Asian,"$35,000 to $49,999",0
2010,00 to 17,Male,High school or equivalent,Asian,"$50,000 to $74,999",73
2010,00 to 17,Male,High school or equivalent,Asian,"$75,000 and over",0
2010,00 to 17,Male,High school or equivalent,Asian,No Income,"3,096"
2010,00 to 17,Male,High school or equivalent,Other,No Income,"3,096"
2010,00 to 17,Male,High school or equivalent,Other,"$5,000 to $9,999",117
2010,00 to 17,Male,High school or equivalent,Other,"$10,000 to $14,999",111
2010,00 to 17,Male,High school or equivalent,Other,"$15,000 to $24,999",44
2010,00 to 17,Male,High school or equivalent,Other,"$25,000 to $34,999",0
2010,00 to 17,Male,High school or equivalent,Other,"$35,000 to $49,999",0
2010,00 to 17,Male,High school or equivalent,Other,"$50,000 to $74,999",106
2010,00 to 17,Male,High school or equivalent,Other,"$75,000 and over",0
2010,00 to 17,Male,High school or equivalent,Other,No Income,"3,111"
2010,00 to 17,Male,High school or equivalent,Other,No Income,"3,111"
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,No Income,"3,111"
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,"$5,000 to $9,999",355
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,"$10,000 to $14,999",202
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,"$15,000 to $24,999",135
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,"$25,000 to $34,999",386
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,"$35,000 to $49,999",0
2010,00 to 17,Male,"Some college, less than 4-yr degree",White,"$50,000 to $74,999",0
