Year,Age,Gender,Educational Attainment,Race,Personal Income,Population Count
2008,00 to 17,Male,No high school diploma,White,"$5,000 to $9,999",9869
2008,00 to 17,Male,No high school diploma,White,"$10,000 to $14,999",3191
2008,00 to 17,Male,No high school diploma,White,"$15,000 to $24,999",1642
2008,00 to 17,Male,No high school diploma,White,"$25,000 to $34,999",332
2008,00 to 17,Male,No high school diploma,White,"$35,000 to $49,999",135
2008,00 to 17,Male,No high school diploma,White,"$50,000 to $74,999",155
2008,00 to 17,Male,No high school diploma,White,"$75,000 and over",157
2008,00 to 17,Male,No high school diploma,White,No Income,186595
2008,00 to 17,Male,No high school diploma,African American,"$5,000 to $9,999",2607
2008,00 to 17,Male,No high school diploma,African American,"$10,000 to $14,999",1097
2008,00 to 17,Male,No high school diploma,African American,"$15,000 to $24,999",86
2008,00 to 17,Male,No high school diploma,African American,"$25,000 to $34,999",0
2008,00 to 17,Male,No high school diploma,African American,"$35,000 to $49,999",0
2008,00 to 17,Male,No high school diploma,African American,"$50,000 to $74,999",0
2008,00 to 17,Male,No high school diploma,African American,"$75,000 and over",0
2008,00 to 17,Male,No high school diploma,African American,No Income,42654
2008,00 to 17,Male,No high school diploma,Asian,"$5,000 to $9,999",1480
2008,00 to 17,Male,No high school diploma,Asian,"$10,000 to $14,999",1327
2008,00 to 17,Male,No high school diploma,Asian,"$15,000 to $24,999",209
2008,00 to 17,Male,No high school diploma,Asian,"$25,000 to $34,999",0
2008,00 to 17,Male,No high school diploma,Asian,"$35,000 to $49,999",0
2008,00 to 17,Male,No high school diploma,Asian,"$50,000 to $74,999",0
2008,00 to 17,Male,No high school diploma,Asian,"$75,000 and over",0
2008,00 to 17,Male,No high school diploma,Asian,No Income,67146
2008,00 to 17,Male,No high school diploma,Hispanic,"$5,000 to $9,999",12508
2008,00 to 17,Male,No high school diploma,Hispanic,"$10,000 to $14,999",3982
2008,00 to 17,Male,No high school diploma,Hispanic,"$15,000 to $24,999",2317
2008,00 to 17,Male,No high school diploma,Hispanic,"$25,000 to $34,999",282
2008,00 to 17,Male,No high school diploma,Hispanic,"$35,000 to $49,999",499
2008,00 to 17,Male,No high school diploma,Hispanic,"$50,000 to $74,999",0
2008,00 to 17,Male,No high school diploma,Hispanic,"$75,000 and over",0
