year,age,gender,education,income_range,income_numerical,count,ZHVI_avg,Income Needed_avg,ZHVI_max,Income Needed_max,ZHVI_min,Income Needed_min,ZHVI_med,Income Needed_med
2012,<18,Male,High school or equivalent,"\$5,000 to \$9,999",7499,655,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$10,000 to \$14,999",12499,"1,133",255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$15,000 to \$24,999",19999,42,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$25,000 to \$34,999",29999,54,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$35,000 to \$49,999",42499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$50,000 to \$74,999",62499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$75,000 and over",75000,131,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,"8,830",255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,"8,830",255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$5,000 to \$9,999",7499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$10,000 to \$14,999",12499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$15,000 to \$24,999",19999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$25,000 to \$34,999",29999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$35,000 to \$49,999",42499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$50,000 to \$74,999",62499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$75,000 and over",75000,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,911,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,911,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$5,000 to \$9,999",7499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$10,000 to \$14,999",12499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$15,000 to \$24,999",19999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$25,000 to \$34,999",29999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$35,000 to \$49,999",42499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$50,000 to \$74,999",62499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$75,000 and over",75000,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,16,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,16,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$5,000 to \$9,999",7499,41,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$10,000 to \$14,999",12499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$15,000 to \$24,999",19999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$25,000 to \$34,999",29999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$35,000 to \$49,999",42499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$50,000 to \$74,999",62499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$75,000 and over",75000,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,"2,523",255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,No Income,0,"2,523",255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$5,000 to \$9,999",7499,281,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$10,000 to \$14,999",12499,344,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$15,000 to \$24,999",19999,116,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$25,000 to \$34,999",29999,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
2012,<18,Male,High school or equivalent,"\$35,000 to \$49,999",42499,0,255992.18364735125,103375.08380374203,593587.660559851,1029820.971738086,116382.83259168969,25977.32208709824,193070.2728213661,42499.22896235541
