RegionName,Date,ZHVI,Income Needed
"Los Angeles, CA",2012-01-31,361622.2940385279,74377.6640996397
"San Francisco, CA",2012-01-31,425247.9862822436,87101.59574358283
"Riverside, CA",2012-01-31,182578.88341130663,40685.53935900377
"San Diego, CA",2012-01-31,332140.17790341727,73956.53212546751
"Sacramento, CA",2012-01-31,205541.70549941767,43918.873851696735
"San Jose, CA",2012-01-31,468657.8301227659,97391.55588182664
"Fresno, CA",2012-01-31,138469.4784709473,30545.451761791464
"Bakersfield, CA",2012-01-31,119525.48928703491,28215.32205422861
"Oxnard, CA",2012-01-31,380290.71210213617,78321.64538469765
"Stockton, CA",2012-01-31,157792.0964390995,34184.94458700515
"Modesto, CA",2012-01-31,134662.8002086458,29222.499902295604
"Santa Rosa, CA",2012-01-31,329732.4015498604,969095.5363967662
"Visalia, CA",2012-01-31,122268.46028724567,26926.94828440075
"Vallejo, CA",2012-01-31,189610.3841130274,40554.01044348289
"Santa Maria, CA",2012-01-31,343219.9594251654,70089.97915861348
"Salinas, CA",2012-01-31,296018.6472448442,60419.23857828782
"San Luis Obispo, CA",2012-01-31,339398.6413317148,69185.80390263657
"Merced, CA",2012-01-31,117768.99079893554,26505.24292535784
"Santa Cruz, CA",2012-01-31,441401.5892024279,88202.91494230088
"Chico, CA",2012-01-31,177941.1425277916,38676.012794491326
"Redding, CA",2012-01-31,167212.12042999754,36075.82930435126
"El Centro, CA",2012-01-31,132486.62150843066,27609.18209669513
"Yuba City, CA",2012-01-31,134195.93384015016,452534.9824223851
"Madera, CA",2012-01-31,133652.80085167522,29713.698096157405
"Hanford, CA",2012-01-31,148616.7466055712,32858.24662201528
"Napa, CA",2012-01-31,350397.8212609769,74106.49663993077
"Los Angeles, CA",2012-02-29,361771.7537418464,73909.96042220572
"San Francisco, CA",2012-02-29,425219.565716986,86785.17130568493
"Riverside, CA",2012-02-29,182314.54143982357,40462.018296170296
"San Diego, CA",2012-02-29,332300.01240157976,73984.1298084719
"Sacramento, CA",2012-02-29,205239.012750802,43745.72449772157
"San Jose, CA",2012-02-29,482148.9858910101,97235.031607604
"Fresno, CA",2012-02-29,139843.268083874,30618.911637046964
"Bakersfield, CA",2012-02-29,120169.20217670982,28396.50716149937
"Oxnard, CA",2012-02-29,374726.8761865712,77336.83507493664
"Stockton, CA",2012-02-29,158703.55730632338,34272.08287260158
"Modesto, CA",2012-02-29,134659.33402641793,29203.27995872363
"Santa Rosa, CA",2012-02-29,328008.9169006722,967143.397090524
"Visalia, CA",2012-02-29,122089.58677376142,26918.458646490995
"Vallejo, CA",2012-02-29,189279.06427509052,40394.05952833365
"Santa Maria, CA",2012-02-29,343700.0196549678,69827.35110834654
"Salinas, CA",2012-02-29,294553.34592965664,60352.25062270972
"San Luis Obispo, CA",2012-02-29,341919.5397203398,69096.90513079862
"Merced, CA",2012-02-29,116806.73382678868,26244.2147802831
"Santa Cruz, CA",2012-02-29,439325.30913778,88015.7399370542
"Chico, CA",2012-02-29,176690.43707577023,38507.44318690958
"Redding, CA",2012-02-29,167326.70147472175,36153.90391141041
"El Centro, CA",2012-02-29,132705.3238644659,28144.19367537401
"Yuba City, CA",2012-02-29,134257.64154576,453166.0980123796
"Madera, CA",2012-02-29,133938.3425372663,29683.39727339409
"Hanford, CA",2012-02-29,145826.27241992898,32565.126359626876
"Napa, CA",2012-02-29,352085.2814272973,74055.59644967844
"Los Angeles, CA",2012-03-31,363446.5997310415,73851.4175576165
"San Francisco, CA",2012-03-31,428863.15070659947,87147.08463606014
"Riverside, CA",2012-03-31,182525.63345712883,40555.03048246962
"San Diego, CA",2012-03-31,333530.2311970729,74594.20363623615
"Sacramento, CA",2012-03-31,206051.687540579,44020.90386825222
"San Jose, CA",2012-03-31,499783.9598244501,98594.64485885573
"Fresno, CA",2012-03-31,141449.02139608402,31011.62941278717
"Bakersfield, CA",2012-03-31,121136.74207478527,28712.18043448813
"Oxnard, CA",2012-03-31,371912.4263361415,76958.99434640133
"Stockton, CA",2012-03-31,159867.07045157673,34750.506937087994
"Modesto, CA",2012-03-31,134869.50754101478,29414.716129159693
"Santa Rosa, CA",2012-03-31,328641.89975125063,968916.1473132852
"Visalia, CA",2012-03-31,122297.07729477134,27094.03671684173
"Vallejo, CA",2012-03-31,189196.54861513068,40507.77095615008
"Santa Maria, CA",2012-03-31,346085.52927981544,70225.8455024338
"Salinas, CA",2012-03-31,293758.8526533059,60738.616640812994
"San Luis Obispo, CA",2012-03-31,347462.25871241774,69679.40091077011
"Merced, CA",2012-03-31,116382.83259168969,26284.17012361373
"Santa Cruz, CA",2012-03-31,441233.8083778693,88615.98888011943
"Chico, CA",2012-03-31,177523.77701917032,38491.59564526158
"Redding, CA",2012-03-31,168024.69361146932,36426.789722760055
"El Centro, CA",2012-03-31,130775.00281434898,28590.753349452767
"Yuba City, CA",2012-03-31,135136.8112979528,455053.4809318379
"Madera, CA",2012-03-31,134045.84778543806,29851.231813708288
"Hanford, CA",2012-03-31,142854.5483181913,32458.41722540811
"Napa, CA",2012-03-31,356055.75799718127,74663.65991229292
"Los Angeles, CA",2012-04-30,366117.1057032044,73123.17893468577
"San Francisco, CA",2012-04-30,435287.0858943864,87009.72051298781
"Riverside, CA",2012-04-30,183852.9952823264,40349.66836216822
"San Diego, CA",2012-04-30,335130.9898295363,74286.80928765176
"Sacramento, CA",2012-04-30,207845.9103419605,43937.61822703225
"San Jose, CA",2012-04-30,515869.13344075787,99497.18658126675
"Fresno, CA",2012-04-30,143713.59403461777,31187.75048550589
"Bakersfield, CA",2012-04-30,122621.14407815455,28820.52730959576
"Oxnard, CA",2012-04-30,372422.3592835215,75954.53050903032
"Stockton, CA",2012-04-30,160990.56229282555,34852.41420292137
"Modesto, CA",2012-04-30,136183.3118210824,29354.052881693777
"Santa Rosa, CA",2012-04-30,330259.89829166414,968576.9576321314
"Visalia, CA",2012-04-30,123486.21900461984,27048.429959824967
"Vallejo, CA",2012-04-30,190345.1172053364,40276.849690561205
"Santa Maria, CA",2012-04-30,348915.64782153466,70017.3456710428
"Salinas, CA",2012-04-30,293863.65963652666,60312.12495792711
"San Luis Obispo, CA",2012-04-30,352585.138648813,70064.034922365
"Merced, CA",2012-04-30,117426.74977437586,26157.753060094983
"Santa Cruz, CA",2012-04-30,446998.5236739708,88635.15087496517
"Chico, CA",2012-04-30,179270.90431814257,38267.78930680477
"Redding, CA",2012-04-30,168446.9722136014,36289.18234841075
"El Centro, CA",2012-04-30,131797.0714723916,28467.41822109414
"Yuba City, CA",2012-04-30,136732.85076066892,457971.5095034736
"Madera, CA",2012-04-30,135201.7408722362,29751.84135178135
"Hanford, CA",2012-04-30,141701.678332636,31888.039549951805
