RegionName,Date,Market Heat,ZHVI,Income Needed
"Los Angeles, CA",2018-01-31,69.0,604831.0350706651,119318.78014949492
"San Francisco, CA",2018-01-31,125.0,890988.6864522515,170933.22187484067
"Riverside, CA",2018-01-31,59.0,356696.1650455464,73906.73829318183
"San Diego, CA",2018-01-31,64.0,576204.6514416306,114714.27220249917
"Sacramento, CA",2018-01-31,63.0,403129.3280648496,81520.99455248196
"San Jose, CA",2018-01-31,144.0,994757.8122052414,185059.2958004823
"Fresno, CA",2018-01-31,58.0,248884.57238071423,51622.8592097786
"Bakersfield, CA",2018-01-31,53.0,211489.4262771946,45797.66659987814
"Oxnard, CA",2018-01-31,63.0,601625.9390360302,119421.35909029908
"Stockton, CA",2018-01-31,61.0,360483.0226744386,72259.4611574774
"Modesto, CA",2018-01-31,58.0,299128.441547539,59859.40420125969
"Santa Rosa, CA",2018-01-31,67.0,642668.5427605074,124058.9040853822
"Visalia, CA",2018-01-31,50.0,215686.7634666034,44939.500104938015
"Vallejo, CA",2018-01-31,68.0,427057.9301530151,85499.9516001356
"Santa Maria, CA",2018-01-31,51.0,581916.202830185,115204.2355392863
"Salinas, CA",2018-01-31,51.0,539031.2365122183,105268.16390988948
"San Luis Obispo, CA",2018-01-31,55.0,597048.9179195592,118579.85124514138
"Merced, CA",2018-01-31,52.0,255498.9331160001,51095.90169587542
"Santa Cruz, CA",2018-01-31,64.0,807685.3809856845,155299.0165508673
"Chico, CA",2018-01-31,52.0,288959.08709110296,58901.06944772869
"Redding, CA",2018-01-31,25.0,252849.12127268192,53039.39675143962
"El Centro, CA",2018-01-31,46.0,219584.2424705205,46514.89637652455
"Yuba City, CA",2018-01-31,58.0,272665.850492456,56590.76875163573
"Madera, CA",2018-01-31,47.0,251209.31292597845,51707.36122279063
"Hanford, CA",2018-01-31,45.0,216831.1683836845,44751.47390259891
"Napa, CA",2018-01-31,63.0,669573.4301728758,131949.1016233753
"Los Angeles, CA",2018-02-28,66.0,618378.6841039822,124191.06308791184
"San Francisco, CA",2018-02-28,105.0,898230.980868426,177956.47099929702
"Riverside, CA",2018-02-28,58.0,357551.1450179182,76346.60002490706
"San Diego, CA",2018-02-28,62.0,576984.784917619,118501.27773038587
"Sacramento, CA",2018-02-28,62.0,404554.9568216237,84423.0924461693
"San Jose, CA",2018-02-28,115.0,1056334.9629384675,197130.6133097025
